100
17	20.546
252	15.5128
449	7.7096
285	7.40333
204	7.32893
66	6.082
197	5.96173
302	5.54981
16	4.44258
815	4.21709
500	4.16903
176	4.12047
420	3.94183
272	3.85264
321	3.73246
155	3.70968
223	3.54274
90	3.50397
180	3.48952
312	3.47271
102	3.44637
422	3.42323
264	3.11312
243	3.08831
47	3.02941
523	2.99352
219	2.91396
684	2.85167
149	2.83109
745	2.78121
195	2.77818
1108	2.72393
647	2.71397
215	2.67891
633	2.67015
161	2.64978
744	2.56297
742	2.53143
483	2.51611
293	2.46162
580	2.39577
554	2.37948
378	2.33241
806	2.32181
157	2.30272
289	2.28693
21	2.23613
183	2.23034
590	2.22321
775	2.20874
327	2.20809
1096	2.18354
1172	2.163
532	2.16283
18	2.16179
1254	2.1344
423	2.11316
896	2.1084
1259	2.10308
329	2.10013
311	2.03264
704	2.02528
186	2.00624
451	1.99484
893	1.98909
199	1.98798
100	1.99396
879	1.97533
3	1.9625
620	1.94972
83	1.9478
1180	1.92479
676	1.89817
306	1.88617
610	1.88404
46	1.87574
1046	1.86236
365	1.85523
39	1.8536
1167	1.84548
671	1.84247
367	1.82814
105	1.82624
585	1.81361
664	1.81325
1147	1.80812
298	1.80265
682	1.78698
28	1.77789
107	1.77555
753	1.77216
482	1.75756
191	1.7557
731	1.73494
1261	1.72587
359	1.6943
828	1.68274
428	1.68044
967	1.67904
362	1.66385
