01 	 32.2065
02 	 52.884
03 	 60.4415
04 	 72.4755
05 	 78.7485
06 	 82.668
07 	 86.4845
08 	 89.503
09 	 92.7225
10 	 97.3515
11 	 100.266
12 	 102.184
13 	 104.457
14 	 107.49
15 	 109.097
16 	 112.427
17 	 114.323
18 	 117.96
19 	 121.765
20 	 123.82
21 	 126.975
22 	 128.531
23 	 130.645
24 	 133.683
25 	 136.852
26 	 138.252
27 	 140.888
28 	 144.038
29 	 146.858
30 	 148.626
31 	 150.655
32 	 152.413
33 	 153.988
34 	 155.405
35 	 156.067
36 	 156.959
37 	 159.465
38 	 160.646
39 	 163.145
40 	 164.542
41 	 166.341
42 	 168.232
43 	 169.356
44 	 172.459
45 	 173.904
46 	 176.444
47 	 177.859
48 	 180.684
49 	 182.014
50 	 183.429
51 	 185.421
52 	 186.957
53 	 188.726
54 	 190.514
55 	 192.989
56 	 195.007
57 	 197.141
58 	 199.162
59 	 201.316
60 	 202.655
61 	 204.289
62 	 206.821
63 	 209.005
64 	 210.29
65 	 212.474
66 	 214.128
67 	 215.453
68 	 217.433
69 	 218.1
70 	 219.817
71 	 221.908
72 	 223.927
73 	 225.69
74 	 227.035
75 	 228.583
76 	 229.186
77 	 231.109
78 	 232.54
79 	 233.815
80 	 235.906
81 	 237.336
82 	 238.963
83 	 239.917
84 	 240.996
85 	 242.393
86 	 244.205
87 	 245.537
88 	 246.156
89 	 246.956
90 	 248.529
91 	 249.879
92 	 252.191
93 	 253.487
94 	 255.41
95 	 256.947
96 	 257.786
97 	 259.217
98 	 261.021
99 	 262.474
100 	 263.913
